from_node_id,to_node_id,time_window,time_interval,travel_time_delta,capacity,cycle_length
25,94,0717:05_0717:18,-1,-1,6.47717,60
45,98,0717:30_0717:33,-1,-1,1.619292,60
45,99,0717:33_0717:35,-1,-1,1.619292,60
45,100,0717:33_0717:35,-1,-1,1.619292,60
53,101,0717:30_0717:33,-1,-1,1.619292,60
53,102,0717:33_0717:35,-1,-1,1.619292,60
53,103,0717:33_0717:35,-1,-1,1.619292,60
31,95,0717:35_0717:48,-1,-1,1.709253,60
31,96,0717:35_0717:48,-1,-1,6.47717,60
31,97,0717:35_0717:48,-1,-1,6.47717,60
25,92,0717:35_0717:48,-1,-1,1.619292,60
25,93,0717:35_0717:48,-1,-1,6.47717,60
25,94,0717:35_0717:48,-1,-1,6.47717,60
45,98,0718:00_0718:03,-1,-1,1.619292,60
45,99,0718:03_0718:05,-1,-1,1.619292,60
45,100,0718:03_0718:05,-1,-1,1.619292,60
53,101,0718:00_0718:03,-1,-1,1.619292,60
53,102,0718:03_0718:05,-1,-1,1.619292,60
53,103,0718:03_0718:05,-1,-1,1.619292,60
31,95,0718:05_0718:18,-1,-1,1.709253,60
31,96,0718:05_0718:18,-1,-1,6.47717,60
31,97,0718:05_0718:18,-1,-1,6.47717,60
25,92,0718:05_0718:18,-1,-1,1.619292,60
25,93,0718:05_0718:18,-1,-1,6.47717,60
25,94,0718:05_0718:18,-1,-1,6.47717,60
45,98,0718:30_0718:33,-1,-1,1.619292,60
45,99,0718:33_0718:35,-1,-1,1.619292,60
45,100,0718:33_0718:35,-1,-1,1.619292,60
53,101,0718:30_0718:33,-1,-1,1.619292,60
53,102,0718:33_0718:35,-1,-1,1.619292,60
53,103,0718:33_0718:35,-1,-1,1.619292,60
31,95,0718:35_0718:48,-1,-1,1.709253,60
31,96,0718:35_0718:48,-1,-1,6.47717,60
31,97,0718:35_0718:48,-1,-1,6.47717,60
25,92,0718:35_0718:48,-1,-1,1.619292,60
25,93,0718:35_0718:48,-1,-1,6.47717,60
25,94,0718:35_0718:48,-1,-1,6.47717,60
45,98,0719:00_0719:03,-1,-1,1.619292,60
45,99,0719:03_0719:05,-1,-1,1.619292,60
45,100,0719:03_0719:05,-1,-1,1.619292,60
53,101,0719:00_0719:03,-1,-1,1.619292,60
53,102,0719:03_0719:05,-1,-1,1.619292,60
53,103,0719:03_0719:05,-1,-1,1.619292,60
31,95,0719:05_0719:18,-1,-1,1.709253,60
31,96,0719:05_0719:18,-1,-1,6.47717,60
31,97,0719:05_0719:18,-1,-1,6.47717,60
25,92,0719:05_0719:18,-1,-1,1.619292,60
25,93,0719:05_0719:18,-1,-1,6.47717,60
25,94,0719:05_0719:18,-1,-1,6.47717,60
45,98,0719:30_0719:33,-1,-1,1.619292,60
45,99,0719:33_0719:35,-1,-1,1.619292,60
45,100,0719:33_0719:35,-1,-1,1.619292,60
53,101,0719:30_0719:33,-1,-1,1.619292,60
53,102,0719:33_0719:35,-1,-1,1.619292,60
53,103,0719:33_0719:35,-1,-1,1.619292,60
31,95,0719:35_0719:48,-1,-1,1.709253,60
31,96,0719:35_0719:48,-1,-1,6.47717,60
31,97,0719:35_0719:48,-1,-1,6.47717,60
25,92,0719:35_0719:48,-1,-1,1.619292,60
25,93,0719:35_0719:48,-1,-1,6.47717,60
25,94,0719:35_0719:48,-1,-1,6.47717,60
45,98,0720:00_0720:03,-1,-1,1.619292,60
45,99,0720:03_0720:05,-1,-1,1.619292,60
45,100,0720:03_0720:05,-1,-1,1.619292,60
53,101,0720:00_0720:03,-1,-1,1.619292,60
53,102,0720:03_0720:05,-1,-1,1.619292,60
53,103,0720:03_0720:05,-1,-1,1.619292,60
31,95,0720:05_0720:18,-1,-1,1.709253,60
31,96,0720:05_0720:18,-1,-1,6.47717,60
31,97,0720:05_0720:18,-1,-1,6.47717,60
25,92,0720:05_0720:18,-1,-1,1.619292,60
25,93,0720:05_0720:18,-1,-1,6.47717,60
25,94,0720:05_0720:18,-1,-1,6.47717,60
45,98,0720:30_0720:33,-1,-1,1.619292,60
45,99,0720:33_0720:35,-1,-1,1.619292,60
45,100,0720:33_0720:35,-1,-1,1.619292,60
53,101,0720:30_0720:33,-1,-1,1.619292,60
53,102,0720:33_0720:35,-1,-1,1.619292,60
53,103,0720:33_0720:35,-1,-1,1.619292,60
31,95,0720:35_0720:48,-1,-1,1.709253,60
31,96,0720:35_0720:48,-1,-1,6.47717,60
31,97,0720:35_0720:48,-1,-1,6.47717,60
25,92,0720:35_0720:48,-1,-1,1.619292,60
25,93,0720:35_0720:48,-1,-1,6.47717,60
25,94,0720:35_0720:48,-1,-1,6.47717,60
45,98,0721:00_0721:03,-1,-1,1.619292,60
45,99,0721:03_0721:05,-1,-1,1.619292,60
45,100,0721:03_0721:05,-1,-1,1.619292,60
53,101,0721:00_0721:03,-1,-1,1.619292,60
53,102,0721:03_0721:05,-1,-1,1.619292,60
53,103,0721:03_0721:05,-1,-1,1.619292,60
31,95,0721:05_0721:18,-1,-1,1.709253,60
31,96,0721:05_0721:18,-1,-1,6.47717,60
31,97,0721:05_0721:18,-1,-1,6.47717,60
25,92,0721:05_0721:18,-1,-1,1.619292,60
25,93,0721:05_0721:18,-1,-1,6.47717,60
25,94,0721:05_0721:18,-1,-1,6.47717,60
45,98,0721:30_0721:33,-1,-1,1.619292,60
45,99,0721:33_0721:35,-1,-1,1.619292,60
45,100,0721:33_0721:35,-1,-1,1.619292,60
53,101,0721:30_0721:33,-1,-1,1.619292,60
53,102,0721:33_0721:35,-1,-1,1.619292,60
53,103,0721:33_0721:35,-1,-1,1.619292,60
31,95,0721:35_0721:48,-1,-1,1.709253,60
